"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Abudefduf sordidus_1",0.572100166605242,0.174294227297196,0.380260720248122,0.488956616566988,0.017869605154055,0.267767097943504,0.0765216564472248,0.656967290590932,1.27700863552432,16.3451899056413,0.537315483961513,"Abudefduf_sordidus"
"Abudefduf sordidus_3",0.585567135720833,0.179680936240177,0.469604369831367,0.368894029217158,0.0140865606470268,0.285488456138462,0.099660040425408,0.629157754912096,1.24523568835427,20.4800632238408,0.5322580116261,"Abudefduf_sordidus"
"Abudefduf sparoides_15",0.562423323255237,0.159005584414825,0.335480518676252,0.515027388647971,0.0176772224199728,0.216270748624206,0.05502785807833,0.715349278609407,1.26065529012311,16.2435468564683,0.527202587079052,"Abudefduf_sparoides"
"Abudefduf sparoides_4",0.607232071430575,0.158915604879077,0.39611785204333,0.473299853101782,0.0126633039469722,0.272206495836339,0.0433103066531422,0.734691704232625,1.20092004633901,22.0052350444371,0.520729336472624,"Abudefduf_sparoides"
"Abudefduf taurus_2",0.520063551301915,0.211311067210506,0.570499447467214,0.382639025989253,0.0129690771243021,0.18793029355028,0.129588360134543,0.575168550451431,1.05885667143889,17.5137178727645,0.540158361831608,"Abudefduf_taurus"
"Abudefduf taurus_fb2",0.493727979232553,0.177351213176811,0.517209284154276,0.196877502215133,0.0213813610620835,0.228689946624876,0.0991947636348732,0.679694788248503,1.34896098519203,14.8938005128833,0.553395213864227,"Abudefduf_taurus"
"Abudefduf troschelii_8",0.723289947833209,0.248600497765798,0.575505256892724,0.33563794256016,0.0195821516031975,0.26889893930179,0.136365818254125,0.495625646890964,1.13410566159369,13.9418367581302,0.538726478626561,"Abudefduf_troschelii"
"Abudefduf troschelii_fb2",0.681437586296755,0.247790230833257,0.6780352463332,0.213242302830461,0.0154827415048923,0.256515871457808,0.114052497222689,0.54932244139033,1.24265529372841,14.2415664398369,0.53405773235947,"Abudefduf_troschelii"
"Abudefduf vaigiensis_51428088",0.559289734160182,0.136883965287369,0.360769142689391,0.522565261870317,0.024740924515259,0.221804504674813,0.0651786871364543,0.658912062322621,1.26770291125918,12.7703322925461,0.527587276746788,"Abudefduf_vaigiensis"
"Abudefduf vaigiensis_fb4",0.50222023173204,0.185767536728138,0.65740679499014,0.213092216855343,0.0143047320873845,0.199347922569213,0.123691440074111,0.593621250129639,1.20794226587075,17.2386369821139,0.550425475123777,"Abudefduf_vaigiensis"
"Abudefduf whitleyi_2",0.490908592824928,0.162252477000015,0.441224526087417,0.441672088691277,0.0253022253685905,0.258270095335261,0.0507430721241108,0.696296025729069,1.30210475490736,14.250797740089,0.54897700705478,"Abudefduf_whitleyi"
"Abudefduf whitleyi_9",0.507055523365951,0.168661685015528,0.493700646191456,0.42885229629997,0.021621593137058,0.227654881139715,0.112545792030026,0.707806454209138,1.21153465129786,14.7883836958739,0.543009099272395,"Abudefduf_whitleyi"
"Abudefduf-abdominalis_1",0.538722438548259,0.179494353620897,0.522910189268082,0.283215787190533,0.0147873693351338,0.246784722182761,0.0489004069693455,0.675912241537296,1.20734911210565,17.9963554520234,0.53851767524342,"Abudefduf_abdominalis"
"Abudefduf-bengalensis_6300657",0.626549177091982,0.203029675434897,0.524627117183441,0.396262421951703,0.0110445672783937,0.267712705484295,0.0605524633701619,0.602583018895072,1.12895504312854,21.5734667133149,0.522903327777341,"Abudefduf_bengalensis"
"Abudefduf-caudobimaculatus_2",0.52403421026552,0.192428783327837,0.439381442729564,0.552422850518641,0.0171387815809031,0.225572519408831,0.110820571654075,0.614250350601039,1.19227726626134,17.0982392262379,0.53698960701413,"Abudefduf_caudobimaculatus"
"Abudefduf-concolor_1",0.557865488945907,0.175335998517928,0.456094965224904,0.330900801356324,0.0155542350717131,0.208713039476877,0.0496289268869856,0.671615033033323,1.19707134671879,18.2030124503568,0.532071813893793,"Abudefduf_concolor"
"Abudefduf-conformis_3",0.566707532752253,0.171192273829179,0.379942462526772,0.549731189837329,0.0177870503837972,0.260960205887256,0.0520078558922573,0.681890835591814,1.27554519847083,15.3510838076117,0.530289683108281,"Abudefduf_conformis"
"Abudefduf-declivifrons_1",0.549792161436338,0.20826636311878,0.380313277112413,0.505093483589647,0.0169583551905019,0.190763269514285,0.0604013050673891,0.667151075721868,1.1995943720677,16.6532940648499,0.535516071879918,"Abudefduf_declivifrons"
"Abudefduf-hoefleri_1",0.510641448889157,0.195062547526911,0.563637174987801,0.295387595863063,0.0170147879585079,0.248035970373294,0.0246944984335307,0.616118785540403,1.01566590049709,13.4068220782416,0.556050014940153,"Abudefduf_hoefleri"
"Abudefduf-lorenzi_1",0.574182113112304,0.160104316085215,0.444238095381095,0.337517821873938,0.0189431464895602,0.216363940215035,0.104079742551864,0.655735599416961,1.252514086679,16.081766758663,0.528890665514407,"Abudefduf_lorenzi"
"Abudefduf-margariteus_1",0.561323631406554,0.152966575449549,0.39922537265131,0.477594664337991,0.0156063566503668,0.251923620753517,0.0643660238851402,0.698148996390562,1.26619080317297,16.5687235872089,0.529064522244612,"Abudefduf_margariteus"
"Abudefduf-natalensis_1",0.583872584826817,0.215658802841069,0.570478189659021,0.392493445016283,0.0176070222621595,0.245067165873023,0.0582612706257374,0.580536490334639,1.12651510197958,16.3157799462091,0.53919936180807,"Abudefduf_natalensis"
"Abudefduf-nigrimargo_4",0.562998102420522,0.167217927332073,0.389167630130287,0.574018620276721,0.0219801408446956,0.22236160009177,0.0490241075527505,0.713455544501691,1.23040243201088,15.7232941535103,0.526208772035958,"Abudefduf_nigrimargo"
